Scientific_Name,Code,CodeNum,Western,California,Gymno,Has_BA,Bark.Thickness.25.4.FOFEM2017,Plant.height,Self.pruning,Flame_duration,Flame_ht,Pct_consumed,bt.quant,ph.quant,sp.quant,fd.quant,fh.quant,pc.quant,frs
Abies_amabilis,Abi_Ama,11,1,1,1,1,1.1938,51.27,5,79.8,38.4,32,0.6551724137931034,0.7241379310344828,0.7241379310344828,0.7333333333333333,0.26666666666666666,0.26666666666666666,0.6060606060606061
Abies_concolor,Abi_Con,15,1,1,1,1,1.2192,46.307692,4,NA,NA,NA,0.6896551724137931,0.4827586206896552,0.4482758620689655,NA,NA,NA,0.5402298850574713
Abies_grandis,Abi_Gra,17,1,1,1,1,1.1684,59.425,4,NA,NA,NA,0.6206896551724138,0.8620689655172413,0.4482758620689655,NA,NA,NA,0.6436781609195402
Abies_lasiocarpa,Abi_Las,19,1,1,1,1,1.0414,27.410506,2,79.8,16.7,25.6,0.5517241379310345,0.3448275862068966,0.3103448275862069,0.7333333333333333,0.06666666666666667,0.13333333333333333,0.3712121212121212
Abies_magnifica,Abi_Mag,20,1,1,1,1,0.9906,46.785714,5,NA,NA,NA,0.4482758620689655,0.5172413793103449,0.7241379310344828,NA,NA,NA,0.5632183908045977
Abies_procera,Abi_Pro,22,1,1,1,1,1.143,55.1228,5,NA,NA,NA,0.5862068965517241,0.8275862068965517,0.7241379310344828,NA,NA,NA,0.7126436781609194
Calocedrus_decurrens,Cal_Dec,81,1,1,1,1,1.524,48.083333,5,NA,NA,NA,0.7241379310344828,0.5517241379310345,0.7241379310344828,NA,NA,NA,0.6666666666666666
Chamaecyparis_lawsonia,Cha_Law,41,1,1,1,1,2.0574,50,6,NA,NA,NA,1,0.6206896551724138,0.8275862068965517,NA,NA,NA,0.8160919540229884
Chamaecyparis_nootkatensis,Cha_Noo,42,1,0,1,1,0.5588,35.4375,6,NA,NA,NA,0.034482758620689655,0.3793103448275862,0.8275862068965517,NA,NA,NA,0.41379310344827586
Juniperus_occidentalis,Jun_Occ,64,1,1,1,1,0.635,15.871334,2,NA,NA,NA,0.10344827586206896,0.10344827586206896,0.3103448275862069,NA,NA,NA,0.1724137931034483
Juniperus_scopulorum,Jun_Sco,66,1,0,1,1,0.8382,11.583333,2,NA,NA,NA,0.3103448275862069,0.034482758620689655,0.3103448275862069,NA,NA,NA,0.21839080459770113
Larix_occidentalis,Lar_Occ,73,1,0,1,1,1.6002,51.095238,9,NA,NA,NA,0.8275862068965517,0.6551724137931034,0.896551724137931,NA,NA,NA,0.7931034482758621
Picea_engelmannii,Pic_Eng,93,1,1,1,1,0.9144,37.193,2,NA,NA,NA,0.41379310344827586,0.41379310344827586,0.3103448275862069,NA,NA,NA,0.37931034482758624
Picea_glauca,Pic_Gla,94,1,0,1,1,0.635,16.256154,2,NA,NA,NA,0.10344827586206896,0.13793103448275862,0.3103448275862069,NA,NA,NA,0.1839080459770115
Picea_sitchensis,Pic_Sit,98,1,1,1,1,0.6858,27.081022,2,NA,NA,NA,0.13793103448275862,0.3103448275862069,0.3103448275862069,NA,NA,NA,0.2528735632183908
Pinus_albicaulis,Pin_Alb,101,1,1,1,1,0.762,17.585765,1,182.85714285714286,48.42857142857143,63.4,0.2413793103448276,0.20689655172413793,0.06896551724137931,0.13333333333333333,0.5333333333333333,0.4666666666666667,0.2424242424242424
Pinus_contorta,Pin_Con,108,1,1,1,1,0.7112,26.055556,3,101.18095238095238,58.142857142857146,79.86666666666666,0.1724137931034483,0.27586206896551724,0.3448275862068966,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.4015151515151515
Pinus_edulis,Pin_Edu,106,1,1,1,1,0.8128,13.53,1,253.85714285714286,40,62.2,0.27586206896551724,0.06896551724137931,0.06896551724137931,0.06666666666666667,0.3333333333333333,0.4,0.1818181818181818
Pinus_flexilis,Pin_Fle,113,1,1,1,1,0.762,17.142857,2,154.57142857142858,55.285714285714285,71.7,0.2413793103448276,0.1724137931034483,0.3103448275862069,0.2,0.6,0.5333333333333333,0.31060606060606055
Pinus_jeffreyi,Pin_Jef,116,1,1,1,1,1.7272,51.416667,10,79.2,67.3,90,0.8620689655172413,0.7586206896551724,1,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.8787878787878788
Pinus_lambertiana,Pin_Lam,117,1,1,1,1,1.8288,62.285714,10,128.5,55.6,77.1,0.896551724137931,0.9310344827586207,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8106060606060606
Pinus_monticola,Pin_Mon3,119,1,1,1,1,0.889,62.133333,6,90.29,75.14,82.78,0.3793103448275862,0.896551724137931,0.8275862068965517,0.6,0.9333333333333333,0.8,0.7272727272727272
Pinus_ponderosa,Pin_Pon,122,1,1,1,1,1.6002,41.229048,10,79.7,77,92,0.8275862068965517,0.4482758620689655,1,0.8,1,1,0.8181818181818182
Pseudotsuga_menziesii,Pse_Men,202,1,1,1,1,1.6002,54.256194,5,105.8,26.2,26.6,0.8275862068965517,0.7931034482758621,0.7241379310344828,0.4666666666666667,0.2,0.2,0.6136363636363636
Sequoia_sempervirens,Seq_Sem,211,1,1,1,1,2.0574,95.165217,5,73.4,59.4,86.1,1,1,0.7241379310344828,0.9333333333333333,0.8,0.8666666666666667,0.8939393939393938
Sequoiadendron_giganteum,Seq_Gig,212,1,1,1,1,2.0574,85.578947,8,148.5,42.6,75.8,1,0.9655172413793104,0.8620689655172413,0.26666666666666666,0.4666666666666667,0.6,0.7727272727272727
Thuja_plicata,Thu_Pli,242,1,1,1,1,0.889,51.191667,5,113.2,42.4,45.7,0.3793103448275862,0.6896551724137931,0.7241379310344828,0.4,0.4,0.3333333333333333,0.5227272727272727
Tsuga_heterophylla,Tsu_Het,263,1,1,1,1,1.016,48.126984,4,68.4,24.6,18.8,0.5172413793103449,0.5862068965517241,0.4482758620689655,1,0.13333333333333333,0.06666666666666667,0.4772727272727273
Tsuga_mertensiana,Tsu_Mer,264,1,1,1,1,1.016,25,5,NA,NA,NA,0.5172413793103449,0.2413793103448276,0.7241379310344828,NA,NA,NA,0.4942528735632184
